"ascii_id_company","name_internat","name_native","postcode","city","city_native","country","country_iso_code","website_address","operating_revenue_turnover","number_of_employees"
"7zHPsYShVYWJvdtLG0DejQ==","CZC.cz s.r.o.","CZC.cz s.r.o.","17000","Praha 7","Praha 7","Czech Republic","CZ","www.czc.cz",267280332,285
"8+1ulAyLXuOluL9ZrA0JvQ==","Putian aoqi polarization device co.,ltd.","莆田市奥奇偏振器件有限公司","000000","Putian","莆田市","China","CN","www.aoqipg.com",16808868,NA
"8/9wjPnoXba4vm/CDPFSxg==","Xiamen sino faith electronic technology co., ltd.","厦门华信安电子科技有限公司","361101","Xiamen","厦门市","China","CN","www.xmisnd.com",14996352,150
"8/onIJz0VGSOnlTBcomH/A==","Simea Sibiu SRL","Simea Sibiu SRL","","Sibiu","Sibiu","Romania","RO","new.siemens.com",87985883,1314
"80DYxeIAUAGlVHHItL7DOQ==","Shenzhen jinke special type materials co., ltd.","深圳市金科特种材料有限公司","518057","Shenzhen","深圳市","China","CN","lmaterigwrl.en.wdtrade.com",16353668,758
"80gQ7el4XTKeP2/zrE6+lQ==","Anhui guangde weizheng optoelectronic co., ltd.","安徽广德威正光电科技有限公司","242200","Xuancheng","宣城市","China","CN","www.wzpcb.com.cn",34436350,NA
"80ph+EpXVpK0O6sXfh8VYA==","Fargo Electronics INC","Fargo Electronics INC","55344","Eden Prairie","Eden Prairie","United States of America","US","www.fargo.com",81028000,226
"81yZePd7XH6kkvcOA6dJ+Q==","CMK Corporation","日本シイエムケイ株式会社","163-1343","Shinjuku-Ku","Shinjuku-Ku","Japan","JP","www.cmk-corp.com",1383636422,7271
"83Ooyh/aVsGli40mbv2ukw==","MEM Roche SL","MEM Roche SL","08918","Badalona","Badalona","Spain","ES","www.memroche.com",6104158,22
"83xRhDRbUsqGeT591jIZVw==","Beijing jingyuntong technology co.,ltd.","北京京运通科技股份有限公司","100176","Beijing","北京市","China","CN","www.jingyuntong.com",1750088900,5033
"84oMk4ZfUK+J3xmnlRmyQg==","Dream Corporation","(주)드림","16681","Suwon-si","Suwon-si","Republic of Korea","KR","www.dreamcorp.co.kr",24853361,NA
"85dHRP+SUmqyGRysl5Jbvg==","Spts Technologies, Inc.","Spts Technologies, Inc.","95131-1125","San Jose","San Jose","United States of America","US","www.spts.com",5630000,7
"87In/O5yWmaphsgtogsjPA==","Tianchang fuda electronics co.,ltd","天长市富达电子有限公司","000000","Chuzhou","天长市","China","CN","www.fddz.cn",17261615,163
"88J7C7FgVNSVMrZjuMkDyQ==","GSI Co.,Ltd","(주)지에스아이","31029","Cheonan-si","Cheonan-si","Republic of Korea","KR","www.gsi2008.co.kr",106000952,268
"895jWGUPWaaWasKCZi12Ow==","Truly opto-electronics technology limited","信利光电科技(汕尾)有限公司","516600","Shanwei","汕尾市","China","CN","trulyopto.com",71468574,518
"8A1pgHewVWGV516354v0tg==","Okins Electronics Co.,Ltd","(주)오킨스전자","16072","Uiwang-si","Uiwang-si","Republic of Korea","KR","www.okins.co.kr",50640336,NA
"8C9hb5BcVpGru7PFYeh04Q==","Thermaster electronic (xiamen) ltd.","厦门升明电子有限公司","361006","Xiamen","厦门市","China","CN","thermaster.com",32654683,700
"8CQEyT/zVsCtU+NuHWEh/g==","Wintegra, Inc.","Wintegra, Inc.","78731","Austin","Austin","United States of America","US","www.wintegra.com",31895000,NA
"8FgyB4NMVyO9dIXOvMOtsw==","Canon Anelva Corporation","キヤノンアネルバ株式会社","215-0033","Asao-Ku Kawasaki-Shi","Asao-Ku Kawasaki-Shi","Japan","JP","www.canon-anelva.co.jp",485727451,1131
"8Q3YxEhwWaOVjckDOFsxig==","Muhlbauer INC","Muhlbauer INC","23603-1366","Newport News","Newport News","United States of America","US","www.muhlbauer.com",2e+07,1750
"8UWRrlzSViWloGB3pUZZTw==","Test Advantage Hardware, LLC","Test Advantage Hardware, LLC","85281-5238","Tempe","Tempe","United States of America","US","www.testadvantage.com",510000,40
"8VOa3BbzVb2Hsnbt0iDVyw==","Hbplus Company Limited","Công TY Tnhh Hbplus","","Ho Chi Minh","Hồ Chí Minh","Vietnam","VN","www.hbplus.vn",101560,5
"8WR9UKRKWwWLHcyBN6tSJw==","Limited Liability Company Irteya","Иртея","115432","Moscow","Москва","Russian Federation","RU","elektronika-nn.ru",0,4
"8Wa2RwAIW5apm1/0+RxQmQ==","Wess-Del Incorporated","Wess-Del Incorporated","95131-1207","San Jose","San Jose","United States of America","US","www.wessdel.com",8e+06,31
"8ammWPsyV2Cfhi6jDM/vug==","MAX Echo Technology Corp.","MAX Echo Technology Corp.","408","Taichung","Taichung","Taiwan, China","TW","www.maxecho.com.tw",25790898,282
"8cYf3PdYXminLr7p8S7NfQ==","Tera Autotech Corporation","高僑自動化科技股份有限公司","437","Taichung City","台中市大甲區","Taiwan, China","TW","www.teraauto.com.tw",69659360,521
"8ccS8wRTVjetlCpAf5UxeA==","Fine M-Tec Co.,Ltd","(주)파인엠텍","14087","Anyang-si","Anyang-si","Republic of Korea","KR","www.finemtec.com",91827311,NA
"8f3p/g5BX8iICnIy/OvR3Q==","Branom Instruments","Branom Instruments","97217-6722","Portland","Portland","United States of America","US","www.branom.com",1420000,55
"8fXoE7PcXjWIwutXLkx9Pg==","Samwha (Thailand) CO LTD","Samwha (Thailand) CO LTD","24000","Muang Chachoengsao, Chachoengsao","Muang Chachoengsao, Chachoengsao","Thailand","TH","www.samwha.co.th",26562778,NA
"8fv0TS43VXmmNBocMwiCVA==","Kingsemi co.,ltd.","沈阳芯源微电子设备股份有限公司","100178","Shenyang","沈阳市","China","CN","www.kingsemi.com",203682366,880
"8lx2b3SYUEudKZgxGbcs8w==","Zhejiang keda packaging machinery factory","浙江科达包装机械厂","000000","Wenzhou","温州市","China","CN","www.packingmachine.com",6041311,65
"8lxpd/5oViugk4ICCpD55w==","SK Hynix Semiconductor (China) Co., Ltd.","SK Hynix Semiconductor (China) Co., Ltd.","214028","Wuxi","Wuxi","China","CN","www.skhynix.com.cn",3522062188,4600
"8mEOJiiqXzSlQwAk9lm+7A==","Cammsys Corp","(주)캠시스","22013","Incheon","Incheon","Republic of Korea","KR","www.cammsys.net",796778707,NA
"8mK3vrxYUr2NDzYhXk6CfQ==","Xandex, Inc.","Xandex, Inc.","94954-1104","Petaluma","Petaluma","United States of America","US","www.xandex.com",8230000,100
"8mxUPsfdUC+S50vALHtFyw==","Advanced Analog Technology, Inc.","台灣類比科技股份有限公司","302","Zhubei City","新竹縣竹北市","Taiwan, China","TW","www.aatech.com.tw",57050991,147
"8nAh8Wx2UVePKjgmf9zvUQ==","Powertech technology (suzhou) co., ltd.","力成科技(苏州)有限公司","215021","Suzhou","Suzhou","China","CN","www.ptisuz.com.cn",208444917,1735
"8nHeTLHJX/Kx5VHUTur0Sw==","Process Advance Technology Ltd.","億鴻工業股份有限公司","320","Taoyuan City","桃園市中壢區","Taiwan, China","TW","www.patjoin.com",10769985,NA
"8nxhEbUrV0OMsm1ssEj9Zw==","Q&d circuits co., ltd.","深圳市强达电路有限公司","518103","Shenzhen","深圳市","China","CN","www.qdcircuits.com",45420781,NA
"8ok51eVmXTeSk0FlgAC/7w==","Freescale Semiconductor, Limited","Freescale Semiconductor, Limited","11","Hamilton","Hamilton","Bermuda","BM","www.freescale.com",5.726e+09,NA
"8oyj8dzXVwyif84xcT/wKg==","Reptron Manufacturing Services","Reptron Manufacturing Services","33626-3040","Tampa","Tampa","United States of America","US","www.kimballelectronics.com",3384000,6
"8qNnL5tDX2ChD0QYsJRPnQ==","Fischer Elektronik GmbH & Co. KG","Fischer Elektronik GmbH & Co. KG","58511","Luedenscheid","Lüdenscheid","Germany","DE","www.fischerelektronik.de",56527323,354
"8qfhM4BwUnO/VLnAFg+9vw==","Digital Imaging Technology, Inc","디아이티(주)","18513","Hwaseong-si","Hwaseong-si","Republic of Korea","KR","www.okdit.co.kr",111856580,221
"8wkK/zEkWVO9JwV8t1yofw==","Laserline, Inc.","Laserline, Inc.","95054-1527","Santa Clara","Santa Clara","United States of America","US","www.laserline.com",14600000,75
"8y/fgtXwXxC+oF0QPTYzsA==","AT Systematization Berhad","AT Systematization Berhad","13700","Perai","Perai","Malaysia","MY","www.ate.com.my",25514763,NA
"8yIi+4DlW2WEvGJ3eHZBiw==","Wisi Automotive Polska Sp. z o.o. w likwidacji sp.k.","Wisi Automotive Polska Sp. z o.o. w likwidacji sp.k.","53-033","Wroclaw","Wrocław","Poland","PL","www.roedl.pl",20489708,NA
"8yxz7ldrV+2tw3F59FviRQ==","Jiangsu mingxin microelectronics co.,ltd","江苏明芯微电子股份有限公司","226633","Nantong","南通市","China","CN","www.jsmingxin.com",23161929,NA
"9/QG/W8gXUSO5pbcfmN83Q==","Zongtai Real Estate Development Co., Ltd.","總太地產開發股份有限公司","302","Zhubei City","新竹縣竹北市","Taiwan, China","TW","www.zongtai.com.tw",283547935,NA
"90KZdNadXTiLeimWPH+63A==","Evans Industries, Inc.","Evans Industries, Inc.","01983-2215","Topsfield","Topsfield","United States of America","US","www.evansindustries.com",12500000,45
"928ojbEOW7ispx2z6zC33w==","Nehp Inc.","Nehp Inc.","05495-7416","Williston","Williston","United States of America","US","www.nehp.com",1.82e+08,55
"92Rhr5HVVuK0gPXvkV9OuA==","Arrk LCO Protomoule","Arrk LCO Protomoule","74540","Alby Sur Cheran","Alby Sur Cheran","France","FR","www.arrkeurope.com",17396891,50
